,uid,first_name,last_name,email,role1,role2,role3
0,,Monica,Brown,ioud@fullerton.edu,2020 Competition mentor,,
1,,April,Campos,ajdg@gmail.com,2020 Competition mentor,,
2,,Rebecca,Day,muhm@gmu.edu,2020 Competition mentor,,
3,,Matthew,Jarvis,cjbl@gmail.com,2020 Competition mentor,,
4,7565.0,Shawn,Gilbert,huib@rpi.edu,2020 Competition mentor,,
5,2314.0,Sharon,Hernandez,jcsc@gmail.com,2020 Competition mentor,,
6,,Ashley,Morrison,ubqq@gmail.com,2020 Competition mentor,,
7,,William,Hughes,jyxi@redlands.edu,2020 Competition mentor,,
8,,Jonathan,Villegas,ciqq@yahoo.com,2020 Competition mentor,,
9,2458.0,Cheryl,Carpenter,ikcu@umich.edu,2020 Competition mentor,,
10,2055.0,Michelle,Holder,prbr@eecs.umich.edu,2020 Competition mentor,,
11,,James,Mccarthy,vlca@exchange.calstatela.edu,2020 Competition mentor,,
12,,Shawn,Hicks,npkh@uconn.edu,2020 Competition mentor,,
13,2409.0,Richard,Singleton,ceak@cpp.edu,2020 Competition mentor,,
14,2403.0,Mark,Lopez,ppqg@sdsu.edu,2020 Competition mentor,,
15,,Adam,Kane,jkmv@babson.edu,2020 Competition mentor,,
16,,Jason,Duarte,dvuf@gmail.com,2020 Competition mentor,2020 preconference training instructor,2021 preconference training instructor
17,758.0,Sean,Harrison,spol@lmu.edu,2020 Competition mentor,,
18,2644.0,Kristin,Hall,bnab@ucf.edu,2020 Competition mentor,,
19,,John,Jenkins,fsar@139.com,2020 Competition mentor,,
20,,Melinda,Watson,hqdx@buttrfly.ai,2020 Competition mentor,,
21,2275.0,Adam,Holt,bmjs@yahoo.com,2020 Competition mentor,,
22,,Maria,Moore,svav@gmail.com,2020 Competition mentor,,
23,,Juan,Newman,eyvd@zju.edu.cn,2020 Competition mentor,,
24,,Phillip,Russell,idzt@aol.com,2020 Competition mentor,,
25,,Hailey,Gonzalez,byeu@smartcon.com,2019 Preconference training instructor,2020 Speaker,
26,707.0,Donald,Frank,bswf@gmail.com,2020 Preconference training instructor,2020 IM data speaker,
27,3973.0,Monica,Ramirez,hfob@odu.edu,Content Development of UCR joint certification course 03 - application of web mapping,,
28,,Paula,Nixon,ldqs@usc.edu,Content Development of UCR joint certification course 02 - GIS toolkits,,
29,,Jacqueline,Morton,nvyd@lmu.edu,Pre-conference workshop,,
30,,Anita,Jackson,"lozc@yahoo.com, sbao",2019 Speaker,,
31,1902.0,Willie,Carpenter,jzji@gmail.com,Webinar deep dive online course,,
32,1553.0,Amanda,Stone,wtvo@gmail.com,Webinar deep dive 2020 speaker online course,,
33,,Sherry,Nguyen,rvgk@fb.com,Entertainment Workshop,,
34,,Rebecca,Moore,qizj@gmu.edu,course on GIS python (obtaining copyright),,
35,,Courtney,Johnson,vfym@gmail.com,Workshop on agile data science (sending out the expert agreement),,
36,,Michael,James,hdfn@aryng.com,Course collaboration ,,
37,,Stephanie,Davis,sqoqnan,Collaboration on the DIAM assessment,,
38,,Jonathan,Watts,onhunan,Collaboration on the DIAM assessment,,
39,1943.0,Brandon,Anderson,bmiq@lighthousecareerconsulting.com,Webinar on AI &Ethics,2020 Speaker,
40,,Timothy,Patterson,yrrd@lubkawhite.com,2019 Panelist,,
41,,Sandra,Johnson,rwol@smartconnections.io,2019 Panelist,,
42,,Jonathan,Peterson,ntrl@ucla.edu,2019 Panelist,2020 Speaker,
43,,Adrian,Hart,egmi@sce.com,2019 Panelist,,
44,,Nathaniel,Powell,ctov@lmu.edu,2019 Panelist,,
45,,Brianna,Martinez,glnd@ucla.edu,2019 Panelist,,
46,,Robin,Reese,yvif@eecs.berkeley.edu,2019 Panelist,,
47,,Joseph,Schmidt,twvz@nutopia.io,2019 Panelist,,
48,,Amy,Taylor,xxds@etcusc.org,2019 Panelist,,
49,1324.0,James,Johnson,jtpz@westcottmultimedia.com,2019 Panelist,,
50,,Caleb,Rogers,eswd@usc.edu,2019 Panelist,2019 Speaker,
51,,Angela,Santiago,yfor@pepperdine.edu,2019 Panelist,,
52,,Steven,Silva,jzzo@fullerton.edu,2019 Panelist,,
53,,Devin,Diaz,kjga@apu.edu,2019 Panelist,,
54,,Rebekah,Peterson,qian@cdrewu.edu,2019 Panelist,,
55,,Karina,Mccarthy,phrn@chla.usc.edu,2019 Panelist,,
56,9286.0,Linda,Nguyen,mcqg@convexa.ai,2019 Panelist,2019 Speaker,
57,1617.0,Charlotte,Patterson,ubvm@kaleidolearning.com,2019 Panelist,2020 Speaker,
58,9541.0,Jennifer,Burton,msfj@strategiced.com,2019 Panelist,,
59,,Vicki,Hendricks,lzhl@atoken.org,2019 Panelist,2019 Speaker,
60,,Laura,Atkinson,hiaw@manydoors.net,2019 Panelist,,
61,3263.0,Daniel,Silva,yhgt@mymedipocket.com,2019 Panelist,2020 Speaker,
62,,Renee,Garcia,xslj@jpl.nasa.gov,2019 Moderator,,
63,,Elizabeth,Carter,qnqe@gmail.com,2019 Moderator,,
64,2657.0,Daniel,Rice,szhy@gmail.com,2019 Moderator,,
65,2626.0,Hannah,Baker,jkyf@chla.usc.edu,2019 Moderator,,
66,,Michael,Jensen,lauu@astro.caltech.edu,2019 Speaker,,
67,,Nicole,Miller,iowp@cityofpasadena.net,2019 Speaker,2020 Speaker,
68,,Craig,Henry,bhbm@rmdslab.com,2019 Speaker,,
69,1637.0,Elizabeth,Alexander,nzmf@g.harvard.edu,2019 Speaker,,
70,,Jessica,Becker,fzrd@toolots.com,2019 Speaker,,
71,,Kyle,Alvarado,ezkr@fas.harvard.edu,2019 Speaker,,
72,,John,Mullins,nbhb@jd.com,2019 Speaker,,
73,9411.0,Jeremy,Phillips,efto@oracle.com,2019 Speaker,,
74,,Clifford,Lyons,aztc@apexparksgroup.com,2019 Speaker,2020 Speaker,
75,,Barbara,Deleon,uelg@fuller.edu,2019 Speaker,,
76,3801.0,Cameron,Hanna,clng@ca.rr.com,2019 Speaker,,
77,,Diane,Murray,fpzs@microsoft.com,2019 Speaker,,
78,,Frank,Richardson,bvjo@virtualitics.com,2019 Speaker,,
79,,Edward,Frazier,qxaw@virtualitics.com,2019 Speaker,,
80,,Robert,Waters,pmao@optum.com,2019 Speaker,,
81,,Renee,Evans,tdkr@outlook.com,2019 Panelist,,
82,,Juan,Hines,tuck@kellogg.oxon.org,2019 Speaker,,
83,3337.0,Sarah,Zavala,gsdq@st-hughs.oxon.org,2019 Panelist,,
84,,Nathan,Stewart,pclw@zenus-biometrics.com,2020 Im data speaker,,
85,2700.0,Yvette,Lopez,wgja@aphid.io,2020 Im data speaker,,
86,3518.0,Cynthia,Anderson,qvwc@homepartners.com,2020 Im data speaker,,
87,3443.0,Rachel,Moore,isxo@hp.com,2020 Im data speaker,,
88,,Michelle,Sanchez,rokx@uwo.ca,2020 Im data speaker,,
89,,Nancy,Anderson,rtqr@saturncloud.io,2020 Im data speaker,,
90,,Amanda,Martinez,ntmv@seaglass.com,2020 Im data speaker,,
91,2885.0,Scott,Harris,rlnc@bablai.com,2020 Im data speaker,,
92,,Kathleen,Carson,zngn@bengroup.com,2020 Im data speaker,,
93,,Aaron,Wiley,xxoe@unacast.com,2020 Im data speaker,,
94,2071.0,Ashley,Miller,vdgq@lacity.org,2020 Im data speaker,,
95,9125.0,Victoria,Romero,wpck@marshall.usc.edu,2020 Im data speaker,,
96,3253.0,Joseph,Cooke,oksz@capeanalytics.com,2020 Im data speaker,,
