,uid,name,email,college_university
0,2679.0,Michael Aguilar,mprm@gmail.com,University of Southern California
1,,Kaitlin Jackson,fibx@marshall.usc.edu,University of Southern California
2,2767.0,Tony Hernandez,curk@drexel.edu,Drexel University
3,,Angela Stein,knca@drexel.edu,Drexel University
4,5173.0,Joshua Kim,hemp@columbia.edu,Columbia
5,,Tyler Peterson,thde@umail.ucsb.edu,UCSB
6,4654.0,Amy White,bgum@northeastern.edu,Northeastern University
7,5498.0,Donald Lambert,gges@gmail.com,USC - BA
8,6922.0,Robert Yu,bnwk@northeastern.edu,Northeastern University -BA
9,6123.0,Kenneth Ballard,llqo@gmail.com,LMU-MSBA
10,9087.0,Mark Horne,pbgw@gmail.com,Worcester Polytechnic Institute
11,,Luke Harrison,djzq@gmail.com,Biola University
12,9199.0,Jesse Mcclure,svph@gmail.com,DePaul University
13,9161.0,Robert Ramos,umjn@illinois.edu,UIUC
14,,Robert Vasquez,ixvv@ucdavis.edu ,UC Davis
15,9552.0,Renee Barrett,pjlk@gmail.com,
16,9699.0,Stephanie Williamson,qqwo@gmail.com,
17,9835.0,Kayla Petty,dzij@gmail.com,
18,9394.0,Rickey Bush,lhww@gmail.com,
