,uid,email,competition_2020,competition_winner_place,shop_txn,moodle_user_y_n,moodle_first_login_dt,moodle_first_login_days_since,moodle_recent_login_dt,moodle_recent_login_days_since,num_courses_completed
0,2228,nwhe@qq.com,1,0,0,1,2020-05-20,665.0,2020-05-20,665.0,0
1,2155,czgd@zju.edu.cn,1,0,0,0,,,,,0
2,2482,bvkb@qq.com,1,0,1,1,2020-05-31,654.0,2020-06-01,653.0,0
3,2568,bebv@qq.com,1,0,0,0,,,,,0
4,2206,bhdo@gmail.com,1,0,0,0,,,,,0
5,2180,kxew@gmail.com,1,0,0,1,2020-05-17,668.0,2020-05-17,668.0,0
6,2811,uyny@gmail.com,1,0,0,0,,,,,0
7,2204,ayeo@yahoo.com,1,0,0,0,,,,,0
8,2301,zmtc@gmail.com,1,0,0,0,,,,,0
9,2319,yhnw@gmail.com,1,0,0,0,,,,,0
10,2233,cdkj@gmail.com,1,0,0,0,,,,,0
11,707,lalp@gmail.com,1,0,0,1,2020-05-29,656.0,2021-03-08,373.0,2
12,2446,edbz@ucsc.edu,1,0,0,0,,,,,0
13,2069,tixl@gmail.com,1,0,0,1,2020-05-27,658.0,2020-05-27,658.0,0
14,2460,kztc@cpp.edu,1,0,0,0,,,,,0
15,2507,ijzl@gmail.com,1,0,0,0,,,,,0
16,2506,odki@yahoo.com,1,0,0,0,,,,,0
17,2453,nzbg@hotmail.com,1,0,0,0,,,,,0
18,2490,tkqz@gmail.com,1,0,0,1,2020-10-04,528.0,2020-10-04,528.0,0
19,2369,qenn@gmail.com,1,0,0,0,,,,,0
20,2492,uwqv@gmail.com,1,0,0,0,,,,,0
21,2527,sayk@gmail.com,1,0,0,0,,,,,0
22,2278,cacr@outlook.com,1,0,0,0,,,,,0
23,2436,tsdl@propensityHQ.com,1,0,0,1,2020-05-28,657.0,2020-05-28,657.0,0
24,2375,njcd@mymail.pomona.edu,1,0,0,0,,,,,0
25,2474,xtbl@gmail.com,1,0,0,0,,,,,0
26,2383,xaxj@yahoo.com,1,0,0,0,,,,,0
27,2318,ebiy@hohotmail.com,1,0,0,0,,,,,0
28,723,nlsb@gmail.com,1,0,0,0,,,,,0
29,2577,hwgx@gmail.com,1,0,0,1,2020-06-05,649.0,2020-06-05,649.0,0
30,2469,akdx@gmail.com,1,0,0,0,,,,,0
31,2293,kjhp@gmail.com,1,0,0,0,,,,,0
32,2059,eapt@gmail.com,1,0,0,0,,,,,0
33,2276,lddp@gmail.com,1,0,0,0,,,,,0
34,2576,fkhx@gmail.com,1,0,0,0,,,,,0
35,2328,sevc@cpp.edu,1,0,0,0,,,,,0
36,2221,maho@uci.edu,1,0,0,0,,,,,0
37,2439,jfpn@csu.fullerton.edu,1,0,0,0,,,,,0
38,2397,iwpi@gmail.com,1,0,0,0,,,,,0
39,500,qotq@rmdslab.com,1,0,0,1,2020-05-28,657.0,2021-09-23,174.0,5
40,2504,jefj@gmail.com,1,0,0,0,,,,,0
41,2441,zjqv@gmail.com,1,0,0,0,,,,,0
42,1070,pnht@gmail.com,1,0,0,0,,,,,0
43,2305,ypqp@csu.fullerton.edu,1,0,0,0,,,,,0
44,2070,scyy@gmail.com,1,0,0,0,,,,,0
45,2263,kidl@yahoo.in,1,0,0,0,,,,,0
46,2367,htwh@gmail.com,1,0,0,0,,,,,0
47,2193,vxby@gmail.com,1,0,0,1,2020-05-17,668.0,2020-05-17,668.0,0
48,2332,hnlc@gmail.com,1,0,0,0,,,,,0
49,2309,mmga@rutgers.edu,1,0,0,0,,,,,0
50,2127,bhoa@yahoo.com,1,0,0,1,2020-05-28,657.0,2021-08-28,200.0,0
51,2130,psyt@ucsc.edu,1,0,0,1,2020-07-23,601.0,2020-08-20,573.0,1
52,2380,vsvj@gmail.com,1,0,0,0,,,,,0
53,2590,wexx@gmail.com,1,0,0,0,,,,,0
54,2357,vwqe@anderson.ucla.edu,1,0,0,1,2020-06-02,652.0,2020-09-03,559.0,1
55,2107,fceq@g.harvard.edu,1,0,0,1,2020-10-06,526.0,2020-10-06,526.0,1
56,2234,fmvw@gmail.com,1,0,0,0,,,,,0
57,3129,ntlx@gmail.com,1,0,0,1,2020-08-25,568.0,2020-08-25,568.0,0
58,2392,avok@rpi.edu,1,0,0,0,,,,,0
59,2442,tgtc@rpi.edu,1,0,0,0,,,,,0
60,2294,rzqg@gmail.com,1,0,0,0,,,,,0
61,2271,khpf@gmail.com,1,0,0,0,,,,,0
62,761,vgkp@gmail.com,1,0,0,0,,,,,0
63,2122,itgs@cpp.edu,1,0,0,0,,,,,0
64,2452,wbdl@gmail.com,1,0,0,0,,,,,0
65,1901,ukjy@gmail.com,1,0,0,1,2020-04-24,691.0,2020-04-24,691.0,0
66,2256,wdze@gmail.com,1,0,0,0,,,,,0
67,2348,ulas@gmail.com,1,0,0,0,,,,,0
68,2302,pkfw@gmail.com,1,0,0,0,,,,,0
69,2229,eurq@yahoo.com,1,0,0,0,,,,,0
70,2468,lefe@columbia.edu,1,0,0,0,,,,,0
71,2566,xcsp@gdou.edu.cn,1,0,0,1,2020-06-04,650.0,2020-06-04,650.0,0
72,1795,bsqm@gmail.com,1,0,0,0,,,,,0
73,2494,dugj@columbia.edu,1,0,0,0,,,,,0
